	auc	apr	fold	feature_selection	subset	iteration
0	0.5564	0.1469	0	unfiltered	HC vs MDD	0
1	0.5642	0.1492	1	unfiltered	HC vs MDD	0
2	0.5534	0.1461	2	unfiltered	HC vs MDD	0
3	0.57	0.1574	3	unfiltered	HC vs MDD	0
4	0.5471	0.1557	4	unfiltered	HC vs MDD	0
0	0.5797	0.1527	0	prevalence_filter	HC vs MDD	0
1	0.598	0.1667	1	prevalence_filter	HC vs MDD	0
2	0.6156	0.1599	2	prevalence_filter	HC vs MDD	0
3	0.5828	0.1711	3	prevalence_filter	HC vs MDD	0
4	0.5468	0.1523	4	prevalence_filter	HC vs MDD	0
0	0.5534	0.1414	0	ridge_filter	HC vs MDD	0
1	0.5669	0.1388	1	ridge_filter	HC vs MDD	0
2	0.5413	0.1321	2	ridge_filter	HC vs MDD	0
3	0.545	0.1426	3	ridge_filter	HC vs MDD	0
4	0.532	0.1453	4	ridge_filter	HC vs MDD	0
0	0.549	0.1425	0	birdman	HC vs MDD	0
1	0.5594	0.1557	1	birdman	HC vs MDD	0
2	0.5525	0.1305	2	birdman	HC vs MDD	0
3	0.5702	0.1592	3	birdman	HC vs MDD	0
4	0.5474	0.1563	4	birdman	HC vs MDD	0
0	0.5826	0.1539	0	unfiltered	HC vs MDD	1
1	0.5435	0.1479	1	unfiltered	HC vs MDD	1
2	0.5698	0.1639	2	unfiltered	HC vs MDD	1
3	0.5565	0.1492	3	unfiltered	HC vs MDD	1
4	0.5575	0.1578	4	unfiltered	HC vs MDD	1
0	0.6107	0.1655	0	prevalence_filter	HC vs MDD	1
1	0.5716	0.1687	1	prevalence_filter	HC vs MDD	1
2	0.5797	0.1677	2	prevalence_filter	HC vs MDD	1
3	0.5742	0.1539	3	prevalence_filter	HC vs MDD	1
4	0.5847	0.1663	4	prevalence_filter	HC vs MDD	1
0	0.5851	0.1614	0	ridge_filter	HC vs MDD	1
1	0.5441	0.1471	1	ridge_filter	HC vs MDD	1
2	0.5546	0.1586	2	ridge_filter	HC vs MDD	1
