	metric	pseudo_f	p_value	variable	iteration	subset	analysis_type	partial_R2	formula
0	rpca	14.277	0.001	Gender	0	full_table	beta_group_significance		
1	uwuf	3.437	0.001	Gender	0	full_table	beta_group_significance		
2	wuf	3.65	0.009	Gender	0	full_table	beta_group_significance		
3	rpca	3.147	0.025	DX_MDD	0	full_table	beta_group_significance		
4	uwuf	3.229	0.002	DX_MDD	0	full_table	beta_group_significance		
5	wuf	1.299	0.241	DX_MDD	0	full_table	beta_group_significance		
6	rpca	0.498	0.629	DX_ANX	0	full_table	beta_group_significance		
7	uwuf	1.83	0.014	DX_ANX	0	full_table	beta_group_significance		
8	wuf	0.83	0.473	DX_ANX	0	full_table	beta_group_significance		
9	rpca	9.96	0.001	N06A_Antidepressants	0	full_table	beta_group_significance		
10	uwuf	7.576	0.001	N06A_Antidepressants	0	full_table	beta_group_significance		
11	wuf	6.181	0.001	N06A_Antidepressants	0	full_table	beta_group_significance		
12	rpca	3.316	0.028	N05B_Anxiolytics	0	full_table	beta_group_significance		
13	uwuf	5.857	0.001	N05B_Anxiolytics	0	full_table	beta_group_significance		
14	wuf	2.603	0.031	N05B_Anxiolytics	0	full_table	beta_group_significance		
15	rpca	6.448	0.001	cobre	0	full_table	beta_group_significance		
16	uwuf	4.976	0.001	cobre	0	full_table	beta_group_significance		
17	wuf	6.701	0.001	cobre	0	full_table	beta_group_significance		
18	rpca	9.076	0.001	Gender	0	unmedicated	beta_group_significance		
19	uwuf	2.35	0.003	Gender	0	unmedicated	beta_group_significance		
20	wuf	2.629	0.025	Gender	0	unmedicated	beta_group_significance		
21	rpca	2.159	0.109	DX_MDD	0	unmedicated	beta_group_significance		
22	uwuf	1.842	0.011	DX_MDD	0	unmedicated	beta_group_significance		
23	wuf	0.798	0.526	DX_MDD	0	unmedicated	beta_group_significance		
24	rpca	1.179	0.301	DX_ANX	0	unmedicated	beta_group_significance		
25	uwuf	1.486	0.058	DX_ANX	0	unmedicated	beta_group_significance		
26	wuf	1.217	0.272	DX_ANX	0	unmedicated	beta_group_significance		
27	rpca	2.133	0.115	cobre	0	unmedicated	beta_group_significance		
28	uwuf	2.22	0.005	cobre	0	unmedicated	beta_group_significance		
29	wuf	2.498	0.044	cobre	0	unmedicated	beta_group_significance		
30	rpca	6.106	0.003	Gender	0	medicated	beta_group_significance		
31	uwuf	1.738	0.028	Gender	0	medicated	beta_group_significance		
32	wuf	1.7	0.138	Gender	0	medicated	beta_group_significance		
33	rpca	0.456	0.66	DX_MDD	0	medicated	beta_group_significance		
34	uwuf	1.267	0.159	DX_MDD	0	medicated	beta_group_significance		
35	wuf	0.424	0.831	DX_MDD	0	medicated	beta_group_significance		
36	rpca	0.579	0.568	DX_ANX	0	medicated	beta_group_significance		
37	uwuf	0.971	0.432	DX_ANX	0	medicated	beta_group_significance		
38	wuf	0.46	0.785	DX_ANX	0	medicated	beta_group_significance		
39	rpca	1.257	0.271	N06A_Antidepressants	0	medicated	beta_group_significance		
40	uwuf	1.15	0.22	N06A_Antidepressants	0	medicated	beta_group_significance		
41	wuf	0.937	0.413	N06A_Antidepressants	0	medicated	beta_group_significance		
42	rpca	0.436	0.684	N05B_Anxiolytics	0	medicated	beta_group_significance		
43	uwuf	1.714	0.025	N05B_Anxiolytics	0	medicated	beta_group_significance		
44	wuf	0.787	0.533	N05B_Anxiolytics	0	medicated	beta_group_significance		
45	rpca	2.845	0.061	cobre	0	medicated	beta_group_significance		
46	uwuf	2.966	0.001	cobre	0	medicated	beta_group_significance		
47	wuf	3.644	0.01	cobre	0	medicated	beta_group_significance		
48	rpca	15.43	0.001	Gender	1	full_table	beta_group_significance		
49	uwuf	3.553	0.002	Gender	1	full_table	beta_group_significance		
50	wuf	3.705	0.007	Gender	1	full_table	beta_group_significance		
51	rpca	3.079	0.04	DX_MDD	1	full_table	beta_group_significance		
52	uwuf	3.151	0.001	DX_MDD	1	full_table	beta_group_significance		
53	wuf	1.311	0.255	DX_MDD	1	full_table	beta_group_significance		
54	rpca	0.734	0.49	DX_ANX	1	full_table	beta_group_significance		
55	uwuf	1.849	0.012	DX_ANX	1	full_table	beta_group_significance		
56	wuf	0.814	0.502	DX_ANX	1	full_table	beta_group_significance		
57	rpca	9.349	0.001	N06A_Antidepressants	1	full_table	beta_group_significance		
58	uwuf	7.428	0.001	N06A_Antidepressants	1	full_table	beta_group_significance		
59	wuf	6.159	0.002	N06A_Antidepressants	1	full_table	beta_group_significance		
